Date,Close,High,Low,Open,Volume
2022-01-03,112.0,118.0,110.0,117.0,2966935200
2022-01-10,103.0,113.0,101.0,112.0,1616028000
2022-01-17,121.0,122.0,99.0,103.0,2519137900
2022-01-24,139.0,145.0,118.0,120.0,6750923500
2022-01-31,136.0,144.0,130.0,140.0,2041832700
2022-02-07,144.0,149.0,136.0,137.0,3145172900
2022-02-14,172.0,176.0,143.0,143.0,4734505100
2022-02-21,184.0,194.0,161.0,173.0,4807901400
2022-02-28,178.0,198.0,175.0,184.0,2972428500
2022-03-07,161.0,192.0,153.0,170.0,4318479800
2022-03-14,204.0,220.0,159.0,161.0,10188723700
2022-03-21,197.0,206.0,190.0,198.0,3902905600
2022-03-28,197.0,208.0,191.0,197.0,1920060400
2022-04-04,244.0,248.0,197.0,197.0,5454400300
2022-04-11,232.0,278.0,224.0,244.0,3087728300
2022-04-18,206.0,240.0,204.0,234.0,2561756200
2022-04-25,224.0,230.0,198.0,204.0,2342451000
2022-05-02,224.0,224.0,224.0,224.0,0
2022-05-09,224.0,230.0,199.0,224.0,2433251300
2022-05-16,210.0,232.0,206.0,224.0,1346918900
2022-05-23,218.0,224.0,204.0,212.0,1266477100
2022-05-30,222.0,228.0,212.0,226.0,2307745300
2022-06-06,214.0,236.0,208.0,224.0,3384662200
2022-06-13,276.0,304.0,206.0,208.0,13341267100
2022-06-20,260.0,290.0,252.0,270.0,2453333900
2022-06-27,236.0,274.0,236.0,264.0,1828736100
2022-07-04,234.0,240.0,220.0,236.0,1501168000
2022-07-11,222.0,238.0,220.0,236.0,1051718500
2022-07-18,238.0,242.0,214.0,224.0,1918334700
2022-07-25,234.0,248.0,226.0,240.0,2336556100
2022-08-01,226.0,238.0,220.0,236.0,1279822000
2022-08-08,230.0,242.0,222.0,228.0,1779023800
2022-08-15,226.0,236.0,224.0,234.0,684027400
2022-08-22,250.0,262.0,222.0,226.0,3359063700
2022-08-29,240.0,262.0,240.0,240.0,2200946600
2022-09-05,228.0,244.0,226.0,240.0,1805609900
2022-09-12,206.0,230.0,206.0,226.0,2256366100
2022-09-19,178.0,206.0,167.0,206.0,3777517400
2022-09-26,140.0,172.0,140.0,170.0,4020291200
2022-10-03,168.0,173.0,132.0,139.0,6487738300
2022-10-10,155.0,169.0,144.0,165.0,3807257400
2022-10-17,177.0,183.0,150.0,156.0,5180303400
2022-10-24,173.0,193.0,173.0,177.0,3691619800
2022-10-31,173.0,184.0,166.0,174.0,1531200400
2022-11-07,187.0,193.0,174.0,175.0,2442127600
2022-11-14,184.0,191.0,175.0,188.0,891900200
2022-11-21,183.0,192.0,182.0,184.0,1362170200
2022-11-28,184.0,192.0,173.0,184.0,1175649100
2022-12-05,175.0,186.0,164.0,186.0,914145200
2022-12-12,172.0,185.0,164.0,185.0,807928300
2022-12-19,165.0,174.0,158.0,173.0,411008200
2022-12-26,159.0,175.0,159.0,165.0,883309600
2023-01-02,152.0,171.0,147.0,162.0,1393666200
2023-01-09,157.0,162.0,151.0,153.0,1243284000
2023-01-16,186.0,195.0,154.0,154.0,4624806100
2023-01-23,184.0,204.0,182.0,186.0,3861357100
2023-01-30,181.0,197.0,178.0,186.0,2016266000
2023-02-06,169.0,184.0,165.0,178.0,1666282000
2023-02-13,172.0,180.0,165.0,165.0,1206386800
2023-02-20,164.0,174.0,161.0,172.0,775533100
2023-02-27,166.0,170.0,160.0,164.0,510654700
2023-03-06,153.0,169.0,151.0,167.0,693242000
2023-03-13,153.0,165.0,147.0,155.0,978556900
2023-03-20,165.0,166.0,154.0,155.0,743810500
2023-03-27,170.0,173.0,164.0,165.0,787918700
2023-04-03,168.0,176.0,164.0,169.0,669829600
2023-04-10,162.0,169.0,160.0,168.0,706472000
2023-04-17,157.0,165.0,157.0,164.0,249760500
2023-04-24,162.0,162.0,155.0,157.0,255365000
2023-05-01,153.0,165.0,151.0,162.0,458767200
2023-05-08,148.0,156.0,148.0,154.0,372607900
2023-05-15,128.0,152.0,127.0,150.0,926301800
2023-05-22,119.0,134.0,114.0,128.0,908523400
2023-05-29,116.0,125.0,115.0,120.0,708948100
2023-06-05,136.0,150.0,116.0,116.0,1684286500
2023-06-12,132.0,138.0,127.0,138.0,1228139000
2023-06-19,132.0,143.0,128.0,134.0,805689200
2023-06-26,136.0,138.0,133.0,133.0,243677200
2023-07-03,144.0,147.0,133.0,138.0,842730000
2023-07-10,171.0,176.0,144.0,146.0,1843486700
2023-07-17,183.0,185.0,166.0,172.0,1389086900
2023-07-24,175.0,186.0,167.0,183.0,2646873500
2023-07-31,172.0,178.0,168.0,177.0,1413134200
2023-08-07,176.0,178.0,168.0,173.0,1016607900
2023-08-14,177.0,183.0,175.0,176.0,1220180800
2023-08-21,200.0,214.0,179.0,179.0,5477754600
2023-08-28,200.0,210.0,188.0,200.0,3407028100
2023-09-04,216.0,222.0,200.0,202.0,2887900200
2023-09-11,214.0,224.0,199.0,224.0,7683465100
2023-09-18,218.0,224.0,206.0,214.0,1161441400
2023-09-25,212.0,226.0,206.0,218.0,983897800
2023-10-02,179.0,214.0,173.0,210.0,1579722600
2023-10-09,192.0,194.0,182.0,182.0,1014926300
2023-10-16,198.0,204.0,191.0,195.0,1207865400
2023-10-23,190.0,200.0,187.0,200.0,516565300
2023-10-30,190.0,198.0,180.0,180.0,820276700
2023-11-06,172.0,193.0,172.0,189.0,802885400
2023-11-13,180.0,183.0,170.0,173.0,545245500
2023-11-20,187.0,195.0,170.0,180.0,1060895100
2023-11-27,199.0,212.0,187.0,187.0,1811358800
2023-12-04,193.0,212.0,191.0,206.0,1114332500
2023-12-11,177.0,194.0,172.0,193.0,1658128700
2023-12-18,168.0,178.0,162.0,177.0,1026062500
2023-12-25,170.0,177.0,168.0,168.0,370784100
2024-01-01,176.0,180.0,170.0,170.0,492162700
2024-01-08,173.0,177.0,170.0,176.0,296567400
2024-01-15,166.0,175.0,166.0,173.0,491586700
2024-01-22,146.0,168.0,145.0,168.0,733865200
2024-01-29,146.0,161.0,146.0,147.0,739527400
2024-02-05,144.0,148.0,139.0,146.0,500819200
2024-02-12,150.0,152.0,144.0,144.0,561218400
2024-02-19,144.0,153.0,141.0,150.0,670536500
2024-02-26,140.0,151.0,138.0,144.0,448825600
2024-03-04,163.0,165.0,141.0,141.0,1816037700
2024-03-11,153.0,166.0,152.0,166.0,744910800
2024-03-18,153.0,158.0,149.0,155.0,751231700
2024-03-25,150.0,154.0,149.0,154.0,262532800
2024-04-01,160.0,163.0,150.0,152.0,1205902400
2024-04-08,160.0,160.0,160.0,160.0,0
2024-04-15,159.0,171.0,157.0,160.0,1408786300
2024-04-22,151.0,162.0,150.0,159.0,855775500
2024-04-29,150.0,156.0,148.0,151.0,460794200
2024-05-06,144.0,154.0,143.0,151.0,426963800
2024-05-13,146.0,150.0,143.0,144.0,473807900
2024-05-20,150.0,156.0,147.0,147.0,595745400
2024-05-27,155.0,159.0,144.0,150.0,1198439200
2024-06-03,144.0,157.0,144.0,155.0,578296500
2024-06-10,135.0,144.0,127.0,143.0,924123600
2024-06-17,142.0,143.0,130.0,135.0,494467200
2024-06-24,146.0,149.0,139.0,141.0,299816400
2024-07-01,151.0,156.0,146.0,146.0,488094900
2024-07-08,156.0,158.0,151.0,154.0,417297500
2024-07-15,158.0,167.0,155.0,157.0,635087400
2024-07-22,153.0,160.0,151.0,159.0,270534000
2024-07-29,157.0,161.0,154.0,154.0,613078700
2024-08-05,149.0,155.0,146.0,154.0,652077900
2024-08-12,155.0,157.0,148.0,149.0,608387500
2024-08-19,159.0,167.0,156.0,156.0,1006213900
2024-08-26,162.0,167.0,158.0,159.0,575259800
2024-09-02,163.0,173.0,159.0,163.0,1238167800
2024-09-09,160.0,166.0,155.0,163.0,719322500
2024-09-16,175.0,178.0,153.0,153.0,1007019100
2024-09-23,200.0,208.0,174.0,176.0,2922115100
2024-09-30,268.0,288.0,202.0,206.0,8680160900
2024-10-07,274.0,286.0,258.0,260.0,3877208700
2024-10-14,338.0,354.0,268.0,272.0,8225208100
2024-10-21,350.0,392.0,336.0,344.0,6392863000
2024-10-28,378.0,392.0,348.0,350.0,4381376200
2024-11-04,450.0,488.0,370.0,378.0,10353778300
2024-11-11,400.0,505.0,366.0,438.0,10571171400
