Date,Close,High,Low,Open,Volume
2021-12-06,3170.24169921875,3253.18406925645,2644.9400223133175,2838.472219067951,225465500
2021-12-13,3133.37841796875,3234.7524256089155,3087.2993235868566,3170.2416934742646,23981400
2021-12-20,3216.321044921875,3271.6159625996147,3087.2995703404818,3133.3786684052648,19764800
2021-12-27,3133.37841796875,3225.5366067325367,3124.1625990923712,3225.5366067325367,5142800
2022-01-03,3105.731201171875,3151.8102991121104,2995.1413661153097,3133.3786599360164,25617000
2022-01-10,3151.81005859375,3225.5366096719667,3087.2993264003107,3105.730964169865,11557000
2022-01-17,3087.299560546875,3179.457756384095,2995.1413647096547,3151.810297632929,5928400
2022-01-24,2856.90380859375,3078.0834582913308,2764.745621219758,3078.0834582913308,15587200
2022-01-31,2930.630615234375,3041.2204497715215,2810.8249611524666,2856.9040588762778,5324300
2022-02-07,3142.594482421875,3179.4577608080554,2856.9040749289775,2930.630631701338,6840300
2022-02-14,3409.852783203125,3548.0900581978462,3050.43586821685,3142.594051546664,10299100
2022-02-21,3234.75244140625,3640.2484739472047,3225.536622484865,3409.8530009125716,15558400
2022-02-28,3299.263427734375,3594.1696559117495,3197.8894117984028,3234.7526903205744,8418900
2022-03-07,3372.989990234375,3409.8532688161713,3050.436302643656,3262.4001544889857,14312600
2022-03-14,3243.96826171875,3372.989726673473,3207.1049860174007,3372.989726673473,2627200
2022-03-21,3133.37841796875,3299.2631577435664,3059.6518669577204,3243.9682444852942,11478700
2022-03-28,3188.673583984375,3299.26341926707,3059.652109487897,3151.81030555681,14920600
2022-04-04,3271.61572265625,3336.126455215669,3096.5151628521126,3207.104990096831,7367800
2022-04-11,3391.421630859375,3548.0905648936396,3253.184336123259,3271.6159754214077,3590100
2022-04-18,3806.13330078125,4091.8236938180994,3299.2632486190982,3391.421439921308,8310800
2022-04-25,3769.27001953125,4220.845156345507,3631.032732751375,3806.133296005883,11129200
2022-05-02,3769.27001953125,3769.27001953125,3769.27001953125,3769.27001953125,0
2022-05-09,3713.975341796875,3944.370834464175,3502.0114885429593,3769.270260037027,7528800
2022-05-16,3778.486083984375,3916.723379739901,3686.327886814024,3713.9753459651297,11901100
2022-05-23,3824.5654296875,4045.7451171875,3686.328125,3778.486328125,12241400
2022-05-30,3603.385498046875,3879.860088689858,3529.6589405420796,3824.5651705612613,16086200
2022-06-06,3502.011474609375,3723.191146689967,3502.011474609375,3594.1696713096217,4366100
2022-06-13,3538.87451171875,3566.5219688415527,3317.694854736328,3502.0112355550127,10429000
2022-06-20,3861.428466796875,3916.723385175828,3391.4216605757756,3538.8747762529833,10855000
2022-06-27,3916.477294921875,3982.0642352674568,3729.0860367916416,3925.8468578283864,8414400
2022-07-04,3654.129638671875,3925.846970778245,3551.064443734976,3916.4774076021636,4629800
2022-07-11,3738.45556640625,3841.5207574600563,3644.759938175517,3672.868626644737,5725600
2022-07-18,3766.564208984375,3841.520710655706,3682.2381446041277,3747.825083566542,6823500
2022-07-25,4188.19482421875,4309.999147965604,3785.3035995176174,3785.3035995176174,13032200
2022-08-01,4150.71630859375,4263.151061873942,3953.955490353414,4188.194559687147,5515600
2022-08-08,3982.064453125,4188.194848345588,3972.6948897058824,4150.7165946691175,3603200
2022-08-15,4122.60791015625,4394.325249689276,3935.216641512784,3972.6948952414773,3930200
2022-08-22,4028.912109375,4216.303370276162,3991.4338571947674,4113.238176780523,7515200
2022-08-29,4122.60791015625,4131.977473588423,3925.847078080611,4010.1731489701706,9938900
2022-09-05,3935.216796875,4122.608072916667,3841.521158854167,4122.608072916667,12816400
2022-09-12,4085.1298828125,4113.238574666714,3878.999475881594,3982.0646793470473,2375500
2022-09-19,4169.45556640625,4169.45556640625,3982.064304994733,4094.499061841643,15945000
2022-09-26,4122.60791015625,4169.455727317117,3982.0644586736507,4169.455727317117,5238100
2022-10-03,4103.869140625,4216.303911601028,3982.0648054009703,4066.390883632991,17237300
2022-10-10,4122.60791015625,4178.82529074929,4010.1731489701706,4103.868783291903,4273300
2022-10-17,4216.3037109375,4450.542805989584,4047.6515625,4113.238509114583,9730700
2022-10-24,4169.45556640625,4497.3902738764045,4122.6077510533705,4169.45556640625,5061400
2022-10-31,4413.064453125,5012.716523188694,4169.455799661624,4169.455799661624,8163500
2022-11-07,4216.3037109375,4516.129752604167,4169.455891927084,4413.064550781251,6351200
2022-11-14,4291.259765625,4384.955393695415,4047.6511326419213,4244.411951589793,8055400
2022-11-21,4263.15087890625,4347.476940247253,4188.19437993647,4291.259566019918,7828000
2022-11-28,4188.19482421875,4403.69478161703,4131.977444027894,4263.15133113989,7079200
2022-12-05,4178.8251953125,4309.999080367153,3878.999172330437,4178.8251953125,12420300
2022-12-12,4216.3037109375,4309.999348958334,4122.608072916667,4178.825455729167,3950100
2022-12-19,4085.1298828125,4300.629853694811,4075.760318861095,4272.5211618405965,6492700
2022-12-26,3982.064453125,4141.34703125,3935.216636029412,4085.129650735294,3630000
2023-01-02,4000.803466796875,4131.977350954149,3953.9556510264197,4028.912156259148,2891500
2023-01-09,3878.9990234375,4122.607657759661,3729.086017700785,3982.0642148814914,12189600
2023-01-16,4356.8466796875,4422.433618951613,3841.520728326613,3916.477230342742,17432200
2023-01-23,4300.62939453125,4441.172838796977,4235.042453873911,4356.846772237541,4361600
2023-01-30,4675.41162109375,4755.052901212582,4169.455253279997,4300.629126416896,11389300
2023-02-06,4628.564453125,4919.0209269041,4506.760125411184,4675.412271476468,8301000
2023-02-13,4637.93359375,4684.781407828283,4562.977091224748,4628.5640309343435,5573800
2023-02-20,4450.54248046875,4989.292359683388,4450.54248046875,4647.303305921053,15991500
2023-02-27,4113.23828125,4431.803432873006,3897.738325740319,4403.694743023918,22790700
2023-03-06,4169.45556640625,4300.629449394311,4075.7599357004915,4206.933818688553,6301600
2023-03-13,4188.19482421875,4403.69478161703,4075.760063837038,4169.4556974884645,8226500
2023-03-20,4197.56494140625,4309.999716622488,4113.2388599940705,4188.195376804897,1190200
2023-03-27,4328.73779296875,4450.542103160512,4178.824795809659,4197.563920454546,5557700
