Date,Close,High,Low,Open,Volume
2022-01-03,102.0,106.0,101.0,102.0,1092190100
2022-01-10,98.0,103.0,96.0,101.0,1340684200
2022-01-17,105.0,106.0,97.0,97.0,1538812700
2022-01-24,113.0,114.0,105.0,105.0,1695317600
2022-01-31,116.0,118.0,111.0,114.0,1300787900
2022-02-07,161.0,173.0,116.0,117.0,2509994200
2022-02-14,179.0,200.0,158.0,191.0,2205628700
2022-02-21,171.0,191.0,162.0,184.0,1837758600
2022-02-28,166.0,183.0,166.0,171.0,875741600
2022-03-07,144.0,174.0,139.0,166.0,723820600
2022-03-14,157.0,164.0,137.0,146.0,722585900
2022-03-21,166.0,174.0,154.0,157.0,553452600
2022-03-28,164.0,172.0,156.0,166.0,506600900
2022-04-04,187.0,188.0,161.0,165.0,909028900
2022-04-11,182.0,204.0,174.0,187.0,1003944500
2022-04-18,175.0,189.0,170.0,183.0,670771900
2022-04-25,198.0,204.0,169.0,174.0,463978800
2022-05-02,198.0,198.0,198.0,198.0,0
2022-05-09,240.0,254.0,197.0,198.0,1578138500
2022-05-16,220.0,258.0,218.0,240.0,397661300
2022-05-23,232.0,236.0,212.0,220.0,217292300
2022-05-30,226.0,240.0,226.0,234.0,199031700
2022-06-06,282.0,334.0,216.0,230.0,1882884300
2022-06-13,280.0,320.0,264.0,270.0,1241138000
2022-06-20,252.0,288.0,240.0,280.0,465869700
2022-06-27,222.0,258.0,218.0,252.0,337199800
2022-07-04,230.0,238.0,208.0,224.0,266042400
2022-07-11,222.0,254.0,218.0,234.0,241347100
2022-07-18,252.0,262.0,220.0,222.0,375622200
2022-07-25,280.0,306.0,246.0,254.0,1030796900
2022-08-01,266.0,284.0,258.0,282.0,388664700
2022-08-08,280.0,298.0,264.0,266.0,566159900
2022-08-15,268.0,294.0,264.0,280.0,458825300
2022-08-22,244.0,270.0,218.0,270.0,1672023500
2022-08-29,264.0,270.0,234.0,240.0,789884600
2022-09-05,284.0,306.0,260.0,266.0,885829800
2022-09-12,268.0,298.0,266.0,284.0,432095500
2022-09-19,278.0,284.0,250.0,268.0,453681600
2022-09-26,256.0,280.0,240.0,280.0,264103000
2022-10-03,284.0,286.0,258.0,258.0,289057600
2022-10-10,270.0,296.0,260.0,284.0,298820700
2022-10-17,286.0,292.0,256.0,274.0,230037600
2022-10-24,322.0,354.0,284.0,286.0,1221204300
2022-10-31,378.0,398.0,322.0,322.0,1224034400
2022-11-07,364.0,404.0,364.0,380.0,1022556200
2022-11-14,338.0,358.0,324.0,354.0,988954700
2022-11-21,336.0,360.0,334.0,338.0,850469200
2022-11-28,356.0,362.0,314.0,336.0,854514900
2022-12-05,296.0,362.0,276.0,358.0,1027182000
2022-12-12,314.0,330.0,284.0,296.0,872274900
2022-12-19,294.0,318.0,290.0,314.0,564895300
2022-12-26,294.0,312.0,290.0,296.0,427005300
2023-01-02,270.0,302.0,262.0,290.0,566108900
2023-01-09,268.0,280.0,256.0,270.0,518149700
2023-01-16,288.0,294.0,258.0,268.0,536517600
2023-01-23,254.0,294.0,254.0,288.0,535478800
