Date,Close,High,Low,Open,Volume
2022-01-03,2019.707275390625,2086.2388091681983,1824.8649264705882,1962.680246438419,337498000
2022-01-10,2090.990966796875,2252.5675415039063,1976.9369140625001,2019.7071838378906,375380000
2022-01-17,2086.23876953125,2152.770302044775,1948.423452181805,2110.000031143223,351481000
2022-01-24,2076.734375,2129.009153318078,1915.157787471396,2090.991132723112,487278000
2022-01-31,1986.4415283203125,2124.2568496631093,1953.1757610996376,2100.4955873626272,239820000
2022-02-07,1891.396484375,2019.7073011542086,1853.3784645885678,1995.9460387876884,312106500
2022-02-14,2024.45947265625,2062.477490922095,1853.378390459947,1881.8919041593308,290781500
2022-02-21,2333.35595703125,2423.6487537391804,2043.4685570742108,2048.220809532523,374643000
2022-02-28,2395.13525390625,2409.3920113699774,2148.01812453497,2333.35597156343,218249500
2022-03-07,2114.75244140625,2803.829079617275,2110.0001887289327,2480.675897559691,488237500
2022-03-14,1995.946044921875,2190.7883969261534,1929.4145100911458,2119.504609607515,366145500
2022-03-21,2243.063232421875,2252.5677376440017,1967.432580980204,2033.96411753509,358145500
2022-03-28,2005.4505615234375,2266.8244498736485,1981.6892989461455,2262.0721973581904,308814500
2022-04-04,2452.162353515625,2551.959658600563,2010.2028595680413,2033.9641226835029,560854000
2022-04-11,2585.225341796875,2651.756876328412,2328.6037086038027,2452.1622727338004,357374500
2022-04-18,2390.3828125,2718.288208250497,2352.3647956013915,2608.986409666998,379299000
2022-04-25,2190.788330078125,2366.6216667655235,2014.9549933907267,2361.8694144226206,373299500
2022-05-02,2190.788330078125,2190.788330078125,2190.788330078125,2190.788330078125,0
2022-05-09,2000.6982421875,2238.3108600244955,1872.3874285555225,2233.5586076677555,668062500
2022-05-16,2100.495361328125,2138.5133769177746,1972.1845587130585,2000.6980704052955,399984000
2022-05-23,2171.779296875,2171.779296875,1976.9369529540481,2138.5135308397157,351626500
2022-05-30,2290.585693359375,2319.0992082144708,2119.504604228799,2186.03613889069,436450100
2022-06-06,1995.946044921875,2347.6127290271575,1976.937034970238,2290.5856991722467,366960300
2022-06-13,1644.279296875,1967.4324534862717,1644.279296875,1900.9009212427745,465233600
2022-06-20,1603.9307861328125,1704.4757010844216,1517.7494304600048,1675.748582526819,606409400
2022-06-27,1378.9017333984375,1575.2037162780762,1378.9017333984375,1556.052303314209,413256300
2022-07-04,1436.35595703125,1465.083076171875,1316.6596272786458,1354.962452799479,544474900
2022-07-11,1326.2353515625,1469.870949204648,1326.2353515625,1441.1438296762185,417666900
2022-07-18,1556.05224609375,1560.8400991586539,1278.3567683293268,1326.2352989783653,517788100
2022-07-25,1766.7177734375,1795.4448917047764,1512.9615620765583,1565.6279455665651,637629700
2022-08-01,1685.32421875,1867.262628728693,1627.8699840198863,1819.3840997869318,468098100
2022-08-08,1690.1121826171875,1761.9299807453967,1656.5972101573566,1685.3243294086403,285357400
2022-08-15,1594.3551025390625,1699.6878720761779,1556.0522772528388,1690.1121657546219,233063600
2022-08-22,1618.2943115234375,1656.5971354648207,1508.173692691961,1584.7793405747273,288972900
2022-08-29,1613.5064697265625,1690.11211814088,1556.0522334158245,1594.3550576229832,267994900
2022-09-05,1752.354248046875,1805.020632551016,1613.506507081412,1613.506507081412,427706500
2022-09-12,1828.9598388671875,1963.0197223443636,1728.4149262593055,1771.505603091255,626856000
2022-09-19,1838.5355224609375,1915.1411692301433,1752.354169845581,1867.2626399993896,429664300
2022-09-26,1704.4757080078125,1795.444917143061,1642.233617546853,1785.869210918298,380170400
2022-10-03,1742.778564453125,1785.8692432445484,1680.5364728655134,1694.9000324626545,204195100
2022-10-10,1651.809326171875,1723.6271229619565,1627.870060575181,1723.6271229619565,110796100
2022-10-17,1541.688720703125,1642.2336372707202,1503.3858953440413,1642.2336372707202,184655500
2022-10-24,1522.5372314453125,1599.1428783104855,1489.0222609417992,1546.476496090679,169058200
2022-10-31,1522.5372314453125,1556.0522019488255,1441.1437316510662,1546.476496090679,216835700
2022-11-07,1527.3250732421875,1627.8699840198863,1493.8101029829545,1536.9007790305398,276070700
2022-11-14,1570.415771484375,1661.3849777593846,1551.2643596370046,1565.6279185225324,201478300
