Date,Close,High,Low,Open,Volume
2023-04-17,885.0,955.0,805.0,805.0,1303667800
2023-04-24,830.0,900.0,795.0,885.0,833212800
2023-05-01,790.0,845.0,750.0,830.0,616295200
2023-05-08,775.0,800.0,755.0,790.0,339768500
2023-05-15,765.0,800.0,760.0,780.0,144009500
2023-05-22,775.0,775.0,735.0,765.0,186675900
2023-05-29,755.0,780.0,750.0,775.0,55035300
2023-06-05,780.0,795.0,755.0,755.0,148414400
2023-06-12,815.0,820.0,750.0,780.0,232393400
2023-06-19,830.0,840.0,805.0,815.0,141615800
2023-06-26,810.0,835.0,765.0,830.0,100585200
2023-07-03,785.0,810.0,775.0,800.0,128231100
2023-07-10,755.0,790.0,750.0,785.0,162367800
2023-07-17,755.0,770.0,715.0,770.0,97328400
2023-07-24,740.0,755.0,715.0,755.0,147923400
2023-07-31,740.0,750.0,715.0,745.0,95182800
2023-08-07,730.0,745.0,725.0,740.0,58748900
2023-08-14,725.0,730.0,715.0,730.0,39903200
2023-08-21,735.0,805.0,715.0,720.0,347317000
2023-08-28,810.0,835.0,735.0,740.0,763387300
2023-09-04,835.0,900.0,810.0,815.0,973011100
2023-09-11,855.0,875.0,830.0,840.0,464432600
2023-09-18,930.0,940.0,850.0,860.0,912773300
2023-09-25,805.0,940.0,800.0,935.0,695735200
2023-10-02,780.0,825.0,720.0,810.0,464973100
2023-10-09,690.0,785.0,685.0,780.0,332321100
2023-10-16,725.0,775.0,650.0,650.0,365978600
2023-10-23,710.0,720.0,685.0,720.0,115243500
2023-10-30,685.0,710.0,645.0,710.0,115326000
2023-11-06,605.0,695.0,605.0,690.0,110216900
2023-11-13,625.0,665.0,585.0,610.0,247934300
2023-11-20,580.0,630.0,535.0,630.0,163836500
2023-11-27,605.0,655.0,580.0,580.0,235258600
2023-12-04,550.0,640.0,550.0,610.0,390289600
2023-12-11,550.0,570.0,515.0,560.0,195487100
2023-12-18,545.0,580.0,496.0,550.0,255021100
2023-12-25,560.0,560.0,530.0,545.0,89908300
2024-01-01,570.0,595.0,550.0,560.0,146132500
2024-01-08,575.0,590.0,520.0,570.0,253693000
2024-01-15,690.0,730.0,575.0,575.0,428594400
