Date,Close,High,Low,Open,Volume
2018-12-31,2398.644287109375,2416.8158347389917,2362.301191850142,2380.4727394797587,2895300
2019-01-07,2434.987548828125,2498.587969879606,2362.3013533407184,2407.7302255203476,8403200
2019-01-14,2371.386962890625,2498.587796149126,2362.3011890864464,2453.158927128233,8263800
2019-01-21,2362.30126953125,2416.81591421274,2298.700850736178,2371.3870436448315,19568400
2019-01-28,2335.0439453125,2389.558589950146,2316.8723970999513,2362.301267631323,9376300
2019-02-04,2416.816162109375,2453.159262291471,2335.0441866996593,2344.129961745183,13522200
2019-02-11,2362.30126953125,2462.244784780649,2316.8723989633413,2416.81591421274,11232000
2019-02-18,2398.644287109375,2471.330477627841,2353.215418035334,2362.301191850142,23484900
2019-02-25,2398.644287109375,2453.1589299982247,2316.872322776101,2398.644287109375,20879500
2019-03-04,2389.55859375,2425.9016902328895,2362.3012713878325,2398.6443678707224,7560500
2019-03-11,2380.472900390625,2407.7302236775404,2371.387125961653,2407.7302236775404,5035800
2019-03-18,2344.129638671875,2407.730055224988,2335.043864878573,2380.4727338450825,11778500
2019-03-25,2335.0439453125,2362.301267631323,2271.4435265685797,2362.301267631323,8107000
2019-04-01,2280.529541015625,2344.129966462276,2244.1864407603957,2344.129966462276,8951400
2019-04-08,2289.614990234375,2325.9580853174602,2271.4434426928324,2271.4434426928324,4910700
2019-04-15,2307.786865234375,2335.0441904143086,2289.6153151144194,2316.872640294353,1718000
2019-04-22,2325.95849609375,2353.2158222198486,2271.4438438415527,2307.7869453430176,4406800
2019-04-29,2389.55859375,2398.6443678707224,2316.87240078422,2325.958174904943,9023500
2019-05-06,2407.72998046875,2416.8157539799527,2335.0437923791274,2371.386886423939,9578400
2019-05-13,2289.614990234375,2416.815823025174,2280.5292164636035,2389.5585017128597,4580400
2019-05-20,2289.614990234375,2362.3011804005455,2262.357668922061,2289.614990234375,2505800
2019-05-27,2325.95849609375,2335.044271469116,2289.615394592285,2289.615394592285,2647100
2019-06-03,2325.95849609375,2325.95849609375,2325.95849609375,2325.95849609375,0
2019-06-10,2271.443359375,2353.2153203125,2253.2718125,2353.2153203125,9303500
2019-06-17,2280.529541015625,2316.8726412708543,2235.1006656965887,2271.4437659518176,10270400
2019-06-24,2253.27197265625,2298.7008430727064,2226.014650406376,2298.7008430727064,11853900
2019-07-01,2180.585693359375,2262.3576568603517,2144.242598470052,2253.2718831380207,14892900
2019-07-08,2096.067138671875,2224.7730156078674,2096.067138671875,2206.3864617598683,14085900
2019-07-15,2040.9072265625,2151.2265361064187,1930.587917018581,2114.453432925113,64623900
2019-07-22,2224.772705078125,2243.1592563597624,2050.10046790257,2059.2937435433887,64257400
2019-07-29,2298.31884765625,2344.285224609375,2114.4533398437497,2224.77264453125,37554700
2019-08-05,2261.546142578125,2307.5125275898754,2160.420095552274,2298.3192505875254,13212600
2019-08-12,2252.3525390625,2279.9323660714285,2206.386160714286,2261.545814732143,9439000
2019-08-19,2233.966064453125,2270.7391683947403,2187.999684526106,2270.7391683947403,18439400
2019-08-26,2289.1259765625,2316.7058076054213,2197.1932064194275,2224.7730374623493,11277800
2019-09-02,2289.1259765625,2298.319253576807,2252.352868505271,2298.319253576807,9033800
2019-09-09,2233.966064453125,2298.3189963509517,2187.999684526106,2298.3189963509517,14414200
2019-09-16,2206.38623046875,2233.9660583496093,2151.2265747070314,2233.9660583496093,5524600
2019-09-23,2096.067138671875,2215.5797386838676,2059.2940309758774,2206.3864617598683,11778500
2019-09-30,2114.453369140625,2151.2264712126357,2022.5206139605978,2096.0668181046194,8733300
2019-10-07,2077.680419921875,2160.4199056709763,2050.1005913388412,2105.2602485049088,6880200
2019-10-14,2059.2939453125,2096.067051478795,1985.7477329799108,2096.067051478795,13690500
2019-10-21,2013.32763671875,2077.68057487871,2004.1343598387557,2077.68057487871,19656600
2019-10-28,1994.9407958984375,2040.9071736841156,1958.1676936698948,2022.5206225698444,18096600
2019-11-04,1967.3612060546875,2013.3275893737223,1939.7813760632666,1994.9410360461084,9461500
2019-11-11,2022.520751953125,2040.9073042436078,1930.5879905007102,1976.5543712269175,8148600
