Date,Close,High,Low,Open,Volume
2022-01-03,1065.0,1075.0,995.0,995.0,90193900
2022-01-10,1000.0,1070.0,970.0,1065.0,125516200
2022-01-17,930.0,1005.0,870.0,1000.0,169401600
2022-01-24,925.0,945.0,910.0,930.0,54741900
2022-01-31,985.0,1020.0,920.0,920.0,100223800
2022-02-07,1005.0,1065.0,985.0,990.0,152138200
2022-02-14,1025.0,1040.0,970.0,995.0,115276300
2022-02-21,955.0,1060.0,925.0,1030.0,202549200
2022-02-28,915.0,975.0,910.0,955.0,72305800
2022-03-07,1090.0,1090.0,875.0,910.0,291105600
2022-03-14,1000.0,1120.0,975.0,1095.0,250333000
2022-03-21,990.0,1010.0,950.0,1000.0,159081400
2022-03-28,980.0,1030.0,975.0,985.0,121969000
2022-04-04,960.0,995.0,950.0,980.0,64858800
2022-04-11,930.0,965.0,925.0,960.0,55332300
2022-04-18,935.0,955.0,905.0,940.0,82938900
2022-04-25,935.0,940.0,900.0,930.0,52344000
2022-05-02,935.0,935.0,935.0,935.0,0
2022-05-09,890.0,935.0,860.0,935.0,80077400
2022-05-16,880.0,900.0,865.0,890.0,38245700
2022-05-23,920.0,940.0,870.0,880.0,84890600
2022-05-30,920.0,960.0,915.0,945.0,91004400
2022-06-06,935.0,990.0,905.0,920.0,127484200
2022-06-13,920.0,935.0,885.0,910.0,93181100
2022-06-20,960.0,975.0,895.0,920.0,125196700
2022-06-27,930.0,1000.0,920.0,965.0,111757900
2022-07-04,900.0,945.0,885.0,940.0,68858700
2022-07-11,890.0,900.0,875.0,875.0,51771000
2022-07-18,895.0,910.0,880.0,895.0,75269300
2022-07-25,910.0,940.0,890.0,900.0,102783800
2022-08-01,955.0,975.0,900.0,910.0,100659400
2022-08-08,985.0,1010.0,940.0,955.0,152287500
2022-08-15,1015.0,1045.0,985.0,985.0,135324500
2022-08-22,990.0,1020.0,965.0,1015.0,102325300
2022-08-29,995.0,1030.0,940.0,965.0,172124500
2022-09-05,1005.0,1030.0,980.0,990.0,113797600
2022-09-12,1060.0,1070.0,1000.0,1015.0,179289200
2022-09-19,990.0,1075.0,975.0,1060.0,146734400
2022-09-26,885.0,980.0,875.0,980.0,203881800
2022-10-03,910.0,925.0,885.0,885.0,58992500
2022-10-10,890.0,910.0,880.0,905.0,59095700
2022-10-17,865.0,895.0,820.0,890.0,75548600
2022-10-24,880.0,910.0,865.0,875.0,54798700
2022-10-31,870.0,905.0,865.0,880.0,48885200
2022-11-07,910.0,935.0,865.0,875.0,94116100
2022-11-14,920.0,950.0,900.0,915.0,75170300
2022-11-21,925.0,950.0,905.0,950.0,52579800
2022-11-28,895.0,930.0,880.0,925.0,67990100
2022-12-05,820.0,905.0,785.0,895.0,104378200
2022-12-12,740.0,830.0,730.0,820.0,130460900
2022-12-19,725.0,745.0,700.0,740.0,48189600
2022-12-26,715.0,740.0,710.0,730.0,36010300
2023-01-02,695.0,745.0,680.0,720.0,39022500
2023-01-09,615.0,705.0,600.0,695.0,79646300
2023-01-16,640.0,645.0,605.0,620.0,45688600
2023-01-23,695.0,700.0,625.0,640.0,74972800
2023-01-30,710.0,725.0,670.0,695.0,69255100
2023-02-06,710.0,740.0,690.0,710.0,54377600
2023-02-13,665.0,715.0,660.0,710.0,49918300
2023-02-20,660.0,675.0,630.0,665.0,26809300
2023-02-27,645.0,685.0,630.0,685.0,20017100
2023-03-06,600.0,650.0,590.0,645.0,39826800
2023-03-13,580.0,635.0,555.0,600.0,53687600
2023-03-20,565.0,590.0,555.0,580.0,20691600
2023-03-27,580.0,600.0,565.0,575.0,28528700
2023-04-03,565.0,590.0,560.0,580.0,20828200
2023-04-10,570.0,605.0,530.0,565.0,59764700
2023-04-17,585.0,600.0,570.0,575.0,15234200
2023-04-24,650.0,660.0,580.0,585.0,50785100
2023-05-01,575.0,660.0,570.0,650.0,52769500
2023-05-08,565.0,590.0,550.0,575.0,40395400
2023-05-15,505.0,570.0,498.0,565.0,42223700
2023-05-22,510.0,520.0,498.0,505.0,38496100
